p,algo,modelo_desc,tasa_pesada
1,adc,adulto ~ anillos,0.7881254488867608
1,adc,adulto ~ long.altura,0.7943500119703136
1,adc,adulto ~ long.diametro,0.7866890112520948
1,adc,adulto ~ long.largo,0.7830979171654298
1,adc,adulto ~ peso.caparazon,0.7936317931529806
1,adc,adulto ~ peso.desenvainado,0.7744792913574335
1,adc,adulto ~ peso.total,0.7921953555183145
1,adc,adulto ~ peso.viscera,0.7969834809672013
1,adl,adulto ~ anillos,0.7881254488867608
1,adl,adulto ~ long.altura,0.7895618865214269
1,adl,adulto ~ long.diametro,0.7874072300694278
1,adl,adulto ~ long.largo,0.7833373234378741
1,adl,adulto ~ peso.caparazon,0.7962652621498684
1,adl,adulto ~ peso.desenvainado,0.7778309791716543
1,adl,adulto ~ peso.total,0.796744074694757
1,adl,adulto ~ peso.viscera,0.8010533875987551
1,kvmc,adulto ~ anillos,0.7581996648312186
1,kvmc,adulto ~ long.altura,0.7321043811347857
1,kvmc,adulto ~ long.diametro,0.7313861623174527
1,kvmc,adulto ~ long.largo,0.7364136940387838
1,kvmc,adulto ~ peso.caparazon,0.7596361024658846
1,kvmc,adulto ~ peso.desenvainado,0.7005027531721331
1,kvmc,adulto ~ peso.total,0.711036629159684
1,kvmc,adulto ~ peso.viscera,0.7249221929614555
1,qda,adulto ~ anillos,0.7881254488867608
1,qda,adulto ~ long.altura,0.7943500119703136
1,qda,adulto ~ long.diametro,0.7866890112520948
1,qda,adulto ~ long.largo,0.7830979171654298
1,qda,adulto ~ peso.caparazon,0.7936317931529806
1,qda,adulto ~ peso.desenvainado,0.7744792913574335
1,qda,adulto ~ peso.total,0.7921953555183145
1,qda,adulto ~ peso.viscera,0.7969834809672013
1,rlog,adulto ~ anillos,0.7881254488867608
1,rlog,adulto ~ long.altura,0.7943500119703136
1,rlog,adulto ~ long.diametro,0.7874072300694278
1,rlog,adulto ~ long.largo,0.7833373234378741
1,rlog,adulto ~ peso.caparazon,0.796744074694757
1,rlog,adulto ~ peso.desenvainado,0.7785491979889874
1,rlog,adulto ~ peso.total,0.7965046684223127
1,rlog,adulto ~ peso.viscera,0.8020110126885325
2,adc,adulto ~ anillos + long.altura,0.8108690447689729
2,adc,adulto ~ anillos + long.diametro,0.8063203255925305
2,adc,adulto ~ anillos + long.largo,0.8015322001436438
2,adc,adulto ~ anillos + peso.caparazon,0.798898731146756
2,adc,adulto ~ anillos + peso.desenvainado,0.8082355757720853
2,adc,adulto ~ anillos + peso.total,0.8135025137658607
2,adc,adulto ~ anillos + peso.viscera,0.8154177639454153
2,adc,adulto ~ long.altura + peso.caparazon,0.7795068230787646
2,adc,adulto ~ long.altura + peso.desenvainado,0.7809432607134307
2,adc,adulto ~ long.altura + peso.total,0.7842949485276515
2,adc,adulto ~ long.altura + peso.viscera,0.7909983241560928
2,adc,adulto ~ long.diametro + long.altura,0.794589418242758
2,adc,adulto ~ long.diametro + peso.caparazon,0.7859707924347618
2,adc,adulto ~ long.diametro + peso.desenvainado,0.7898012927938712
2,adc,adulto ~ long.diametro + peso.total,0.7830979171654298
2,adc,adulto ~ long.diametro + peso.viscera,0.7902801053387599
2,adc,adulto ~ long.largo + long.altura,0.7912377304285372
2,adc,adulto ~ long.largo + long.diametro,0.7881254488867608
2,adc,adulto ~ long.largo + peso.caparazon,0.781182666985875
2,adc,adulto ~ long.largo + peso.desenvainado,0.779746229351209
2,adc,adulto ~ long.largo + peso.total,0.7802250418960976
2,adc,adulto ~ long.largo + peso.viscera,0.7744792913574335
2,adc,adulto ~ peso.desenvainado + peso.caparazon,0.7799856356236533
2,adc,adulto ~ peso.desenvainado + peso.viscera,0.7828585108929854
2,adc,adulto ~ peso.total + peso.caparazon,0.7866890112520948
2,adc,adulto ~ peso.total + peso.desenvainado,0.7869284175245391
2,adc,adulto ~ peso.total + peso.viscera,0.7852525736174287
2,adc,adulto ~ peso.viscera + peso.caparazon,0.7854919798898731
2,adl,adulto ~ anillos + long.altura,0.8041656691405314
2,adl,adulto ~ anillos + long.diametro,0.7979411060569787
2,adl,adulto ~ anillos + long.largo,0.79746229351209
2,adl,adulto ~ anillos + peso.caparazon,0.8020110126885325
2,adl,adulto ~ anillos + peso.desenvainado,0.8067991381374192
2,adl,adulto ~ anillos + peso.total,0.811587263586306
2,adl,adulto ~ anillos + peso.viscera,0.8127842949485277
2,adl,adulto ~ long.altura + peso.caparazon,0.7991381374192004
2,adl,adulto ~ long.altura + peso.desenvainado,0.7921953555183145
2,adl,adulto ~ long.altura + peso.total,0.7977016997845343
2,adl,adulto ~ long.altura + peso.viscera,0.8015322001436438
2,adl,adulto ~ long.diametro + long.altura,0.7921953555183145
2,adl,adulto ~ long.diametro + peso.caparazon,0.7929135743356476
2,adl,adulto ~ long.diametro + peso.desenvainado,0.7881254488867608
2,adl,adulto ~ long.diametro + peso.total,0.7895618865214269
2,adl,adulto ~ long.diametro + peso.viscera,0.7943500119703136
2,adl,adulto ~ long.largo + long.altura,0.7883648551592052
2,adl,adulto ~ long.largo + long.diametro,0.7888436677040939
2,adl,adulto ~ long.largo + peso.caparazon,0.7900406990663156
2,adl,adulto ~ long.largo + peso.desenvainado,0.781182666985875
2,adl,adulto ~ long.largo + peso.total,0.7909983241560928
2,adl,adulto ~ long.largo + peso.viscera,0.7948288245152023
2,adl,adulto ~ peso.desenvainado + peso.caparazon,0.796744074694757
2,adl,adulto ~ peso.desenvainado + peso.viscera,0.7998563562365334
2,adl,adulto ~ peso.total + peso.caparazon,0.799616949964089
2,adl,adulto ~ peso.total + peso.desenvainado,0.799616949964089
2,adl,adulto ~ peso.total + peso.viscera,0.798180512329423
2,adl,adulto ~ peso.viscera + peso.caparazon,0.7977016997845343
2,kvmc,adulto ~ anillos + long.altura,0.7206128800574575
2,kvmc,adulto ~ anillos + long.diametro,0.7359348814938952
2,kvmc,adulto ~ anillos + long.largo,0.7435958822121139
2,kvmc,adulto ~ anillos + peso.caparazon,0.7517356954752215
2,kvmc,adulto ~ anillos + peso.desenvainado,0.7574814460138856
2,kvmc,adulto ~ anillos + peso.total,0.7407230069427819
2,kvmc,adulto ~ anillos + peso.viscera,0.7548479770169978
2,kvmc,adulto ~ long.altura + peso.caparazon,0.7356954752214508
2,kvmc,adulto ~ long.altura + peso.desenvainado,0.7311467560450083
2,kvmc,adulto ~ long.altura + peso.total,0.7292315058654537
2,kvmc,adulto ~ long.altura + peso.viscera,0.7359348814938952
2,kvmc,adulto ~ long.diametro + long.altura,0.7292315058654537
2,kvmc,adulto ~ long.diametro + peso.caparazon,0.7400047881254489
2,kvmc,adulto ~ long.diametro + peso.desenvainado,0.7210916926023462
2,kvmc,adulto ~ long.diametro + peso.total,0.7483840076610008
2,kvmc,adulto ~ long.diametro + peso.viscera,0.7311467560450083
2,kvmc,adulto ~ long.largo + long.altura,0.7459899449365573
